Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
"КАТЕГОРИИ ТОВАРОВ/Салон, интерьер",f0513200-3f9d-11ec-0a80-00d3004ecbcc,Товар,2-109678,"Облицовка порога ""LADA Largus"" (4 шт.) внутр. 5-мест.",457514,2199-5109076/77/78/79,компл,"2550,00","1875,00","Облицовка порога ""LADA Largus"" (4 шт.) внутр. 5-мест.","2070,00",,20,"ООО ""АВТО-ТРАСТ""",370,0,36,650,10,85,Сызрань,457514,2199-5109076/77/78/79,1,2199-5109076/77/78/79
"КАТЕГОРИИ ТОВАРОВ/Салон, интерьер",f93ba90f-3f9e-11ec-0a80-00d3004ff4c3,Товар,2-112939,"Облицовка ручек двери УАЗ 3163 задняя внутр.лев. ""УАЗ""",513478,316390682608300,шт,"250,00","171,10","Облицовка ручек двери УАЗ 3163 задняя внутр.лев. ""УАЗ""","190,00",,20,"ООО ""АВТО-ТРАСТ""",100,0,41,150,50,50,UAZ,513478,316390682608300,1,316390682608300
"КАТЕГОРИИ ТОВАРОВ/Салон, интерьер",ffee2fcc-3f9c-11ec-0a80-00d3004dc08e,Товар,2-106714,Ручка блока светотехники 1118,053991,34.3769.001-01,шт,"170,00","110,50",Ручка блока светотехники 1118,"130,00",,20,"ООО ""АВТО-ТРАСТ""",6,0,52,25,39,25,Димитровград,053991,34.3769.001-01,1,34.3769.001-01
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,0b326916-6965-11ed-0a80-0d8c008b54b6,Товар,1-300211,"Крышка расширительного бачка Г-3302, 3110, УАЗ Патриот",В10551g,3302-1311065,шт,"140,00","77,32","Крышка расширительного бачка Г-3302, 3110, УАЗ Патриот","90,00",,20,"ООО ""ТД ВОСХОД""",0,0,72,,,,ПЗИ,10551g,,1,3302-1311065
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,0dc8e651-6965-11ed-0a80-0d8c008b55db,Товар,1-300212,"Крышка расширительного бачка Г-3302, 3110, УАЗ Патриот синяя",В158489s,3302-1311065,шт,"160,00","103,59","Крышка расширительного бачка Г-3302, 3110, УАЗ Патриот синяя","120,00",,20,"ООО ""ТД ВОСХОД""",0,0,52,,,,ПЗИ,158489s,,1,3302-1311065
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,1268231e-6965-11ed-0a80-0d8c008b5860,Товар,1-300205,Крыльчатка вентилятора Г-3302 10 лопастей Riginal 168551 3302-1308010-10,В24081g,3302-1308010-10,шт,"340,00","234,71",Крыльчатка вентилятора Г-3302 10 лопастей Riginal 168551 3302-1308010-10,"260,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Riginal,24081g,,1,3302-1308010-10
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,136b107a-0073-11ef-0a80-059b00330694,Товар,11-500501,Вентилятор охл 21214 с кожухом конд. в сборе TRUCKMAN,17_00104399,21214-1300024-41,компл,"8270,00","6079,98",Вентилятор охл 21214 с кожухом конд. в сборе TRUCKMAN,"6690,00",,20,"ООО ""СТМ""",0,0,36,,,,TRUCKMAN,17_00104399,,1,"21214-1300024-41, lfk01225, 212141300024, 21231300025"
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,14ae6eb1-6965-11ed-0a80-0d8c008b5922,Товар,1-300207,Крыльчатка вентилятора Г-3302 6 лопастей ГАЗ (оригинал),В10689g,3302-1308010,шт,"430,00","304,00",Крыльчатка вентилятора Г-3302 6 лопастей ГАЗ (оригинал),"340,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),10689g,,1,3302-1308010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,15e72e3e-6965-11ed-0a80-0d8c008b5a11,Товар,1-300206,Крыльчатка вентилятора Г-3302 11 лопастей Riginal 168552 3302-1308010-20,В24082g,3302-1308010-20,шт,"390,00","273,50",Крыльчатка вентилятора Г-3302 11 лопастей Riginal 168552 3302-1308010-20,"310,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Riginal,24082g,,1,3302-1308010-20
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,16176903-6965-11ed-0a80-0d8c008b5a42,Товар,1-300193,Бачок расширительный Г-3302 рестайлинг в инд.упаковке AV Autoplastic,В10024g,AV 2705-1311010,шт,"500,00","348,19",Бачок расширительный Г-3302 рестайлинг в инд.упаковке AV Autoplastic,"390,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,AV Autoplastic,10024g,,1,AV 2705-1311010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,18b4e7cb-6965-11ed-0a80-0d8c008b5b39,Товар,1-300192,Бачок расширительный Г-3302 Next,В552627s,2122-1311010,шт,"590,00","411,60",Бачок расширительный Г-3302 Next,"460,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,AV AUTOPLASTIC,552627s,,1,2122-1311010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,194bf483-6965-11ed-0a80-0d8c008b5b76,Товар,1-300208,Крыльчатка вентилятора Г-3302 Бизнес 32214-1308011,В22305g,32214-1308011,шт,"1430,00","1009,01",Крыльчатка вентилятора Г-3302 Бизнес 32214-1308011,"1110,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,ПЗИ,22305g,,1,32214-1308011
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,1f4ab41b-e8d2-11ec-0a80-0c2e0032f33c,Товар,1-203408,"Крышка бачка расширительного Golf, Passat; Audi; Г-3302, 3110 Brave",В182527и,BRCC15,шт,"170,00","114,66","Крышка бачка расширительного Golf, Passat; Audi; Г-3302, 3110 Brave","130,00",,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,BRAVE,182527и,BRCC15,1,BRCC15
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,2631f3f1-795b-11ee-0a80-019e001f7e37,Товар,11-000405,"Кран отопителя  УАЗ-3160, АЗЛК 2141, Москвич, ИЖ 2126, 2127 керамич TRUCKMAN",17_00267138,2141-8101150,шт,"270,00","189,43","Кран отопителя  УАЗ-3160, АЗЛК 2141, Москвич, ИЖ 2126, 2127 керамич TRUCKMAN","210,00",,20,"ООО ""СТМ""",0,0,41,,,,TRUCKMAN,17_00267138,,1,2141-8101150
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,265e3a4a-795b-11ee-0a80-019e001f7e43,Товар,11-000406,"Кран отопителя Г-2410 , 3102-3110 TRUCKMAN",17_00267036,31029-8101150,шт,"440,00","309,59","Кран отопителя Г-2410 , 3102-3110 TRUCKMAN","350,00",,20,"ООО ""СТМ""",0,0,41,,,,TRUCKMAN,17_00267036,,1,31029-8101150
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,297ce838-9bd4-11ed-0a80-1026000bbc39,Товар,1-300958,Крышка расширительного бачка ВАЗ 2108 металлический клапан Тольятти,В2226v,21081311066,шт,"140,00","78,35",Крышка расширительного бачка ВАЗ 2108 металлический клапан Тольятти,"90,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,72,,,,ТОЛЬЯТТИ,2226v,21081311066,1,21081311066
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,2e2c5d92-3f9e-11ec-0a80-00d3004f139a,Товар,2-110437,Бачок расширительный Г-3302 (рестайлинг),033743,2705-1311010,шт,"660,00","466,70",Бачок расширительный Г-3302 (рестайлинг),"520,00",,20,"ООО ""АВТО-ТРАСТ""",726,0,41,230,220,200,Н.Новгород,033743,2705-1311010,1,2705-1311010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,2e9e2c8a-3f9e-11ec-0a80-00d3004f1426,Товар,2-110444,"Бачок расширительный УАЗ-3160 ""Хантер""",056562,316000131101400,шт,"270,00","190,30","Бачок расширительный УАЗ-3160 ""Хантер""","210,00",,20,"ООО ""АВТО-ТРАСТ""",200,0,41,215,140,140,UAZ,056562,316000131101400,1,
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,34058a51-6cd3-11ed-0a80-03a4000edd19,Товар,ПР-000051,Корпус термостата Г-3302 cummins ISF 2.8 5293669,ПР5282085,5293669,шт,"1950,00","1428,00",Корпус термостата Г-3302 cummins ISF 2.8 5293669,"1580,00",,20,"ООО ""АВТОСТЭЛС""",0,0,36,,,,FOTON,5282085,,1,5293669
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,38f5d2c0-dcec-11ed-0a80-0c5a0037e52c,Товар,11-000123,"Вентилятор охл 2106, 2108-2110 эл ( 8 лоп.) VIMMER (70.3730)",17_00203860,VMR-2108-1308008,шт,"2090,00","1477,99","Вентилятор охл 2106, 2108-2110 эл ( 8 лоп.) VIMMER (70.3730)","1630,00",,20,"ООО ""СТМ""",0,0,41,,,,VIMMER,17_00203860,,1,VMR-2108-1308008
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,39972fc2-dcec-11ed-0a80-0c5a0037e551,Товар,11-000124,"Вентилятор охл Lada Vesta, Renault Logan 12- в кожухе VIMMER 214812218R",17_00203865,VMR-214812218R,шт,"3510,00","2574,91","Вентилятор охл Lada Vesta, Renault Logan 12- в кожухе VIMMER 214812218R","2840,00",,20,"ООО ""СТМ""",0,0,36,,,,VIMMER,17_00203865,,1,VMR-214812218R
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,3ff617f5-c7db-11ed-0a80-04cc001c1251,Товар,ПР-000772,Кольцо уплотнительное корпуса термостата Г-3302 дв.Cummins ISF2.8  FOTON,УТ000005081,5263815/5266796,шт,"310,00","221,00",Кольцо уплотнительное корпуса термостата Г-3302 дв.Cummins ISF2.8  FOTON,"250,00",,20,ИП Куканов Александр Алексеевич,0,0,36,,,,Foton,УТ000005081,,1,5263815/5266796
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,40eb1ee8-e7d6-11ec-0a80-05b80014df08,Товар,2-153370,"Крышка корпуса термостата Г-3302 Бизнес ""УМЗ"" дв. 4215,4216 Евро-3",031776,421.1306032-10,шт,"800,00","565,20","GAZ, ГАЗ","630,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,УМЗ,031776,421.1306032-10,1,
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,410a002b-ecae-11ed-0a80-0e92009728ac,Товар,1-302623,Муфта интеркуллера Г-3302 Бизнес двс Cummins силикон CARUM,В24356g,3302-1173090,шт,"330,00","229,32",Муфта интеркуллера Г-3302 Бизнес двс Cummins силикон CARUM,"260,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,CARUM,24356g,,1,3302-1173090
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,42854650-52d0-11ee-0a80-1182000b38ad,Товар,11-000359,Кран отопителя ГАЗ-3302 н/о электрич. (2 патрубка) TRUCKMAN,17_00267038,3307-8109030,шт,"1070,00","758,37",Кран отопителя ГАЗ-3302 н/о электрич. (2 патрубка) TRUCKMAN,"840,00",,20,"ООО ""СТМ""",0,0,41,,,,TRUCKMAN,17_00267038,,1,3307-8109030
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,42afec1c-52d0-11ee-0a80-1182000b38bc,Товар,11-000360,Кран отопителя ГАЗ-3302 электрич. (3 патрубка) TRUCKMAN,17_00267037,33070-8120020-01,шт,"1070,00","758,37",Кран отопителя ГАЗ-3302 электрич. (3 патрубка) TRUCKMAN,"840,00",,20,"ООО ""СТМ""",0,0,41,,,,TRUCKMAN,17_00267037,,1,33070-8120020-01
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,42da3678-52d0-11ee-0a80-1182000b38ca,Товар,11-000361,Мотор печки 2110 с.о. VIMMER,17_00203668,VMR-2110-8101080,шт,"1420,00","1003,69",Мотор печки 2110 с.о. VIMMER,"1110,00",,20,"ООО ""СТМ""",0,0,41,,,,VIMMER,17_00203668,,1,VMR-2110-8101080
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,467cb42e-3f9e-11ec-0a80-00d3004f2f00,Товар,2-110766,"Вентилятор радиатора УАЗ (под гидромуфту) 11 лопастей ""АДС""",428912,42000.390994-1308010-00,шт,"2340,00","1886,90","Вентилятор радиатора УАЗ (под гидромуфту) 11 лопастей ""АДС""","2080,00",,20,"ООО ""АВТО-ТРАСТ""","0,5",0,24,400,400,60,Авто Деталь Сервис,428912,42000.390994-1308010-00,1,42000.390994-1308010-00
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,4697ecc2-3f9e-11ec-0a80-00d3004f2f28,Товар,2-110768,"Вентилятор радиатора УАЗ (под гидромуфту) 7 лопастей ""АДС""",428911,42000.316200-1308010-00,шт,"2120,00","1554,80","Вентилятор радиатора УАЗ (под гидромуфту) 7 лопастей ""АДС""","1720,00",,20,"ООО ""АВТО-ТРАСТ""",300,0,36,400,400,50,Авто Деталь Сервис,428911,42000.316200-1308010-00,1,42000.316200-1308010-00
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,474cde7a-9bd4-11ed-0a80-1026000bc545,Товар,2-300071,Крыльчатка вентилятора Г-3302 402 дв.(6 лопастей),000390,3302-1308010,шт,"220,00","149,10",Крыльчатка вентилятора Г-3302 402 дв.(6 лопастей),"170,00",Китай,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,Нет бренда,000390,,1,3302-1308010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,4bf8ff5a-9bd4-11ed-0a80-1026000bc68b,Товар,1-300951,Крыльчатка вентилятора Г-3302 11 лопастей 3302-1308010,В20688g,3302-1308010,шт,"200,00","135,93",Крыльчатка вентилятора Г-3302 11 лопастей 3302-1308010,"150,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.Новгород,20688g,,1,3302-1308010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,4d4c4bd4-9bd4-11ed-0a80-1026000bc6de,Товар,1-300952,Крыльчатка вентилятора Г-3302 8 лопастей 3302-1308010,В20075g,3302-1308010,шт,"170,00","119,76",Крыльчатка вентилятора Г-3302 8 лопастей 3302-1308010,"140,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.Новгород,20075g,,1,3302-1308010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,4f4718ca-9bd4-11ed-0a80-1026000bc767,Товар,1-300950,Крыльчатка вентилятора Г-3302 10 лопастей Н.Новгород 3302-1308010-52,В20302g,3302-1308010-52,шт,"180,00","124,85",Крыльчатка вентилятора Г-3302 10 лопастей Н.Новгород 3302-1308010-52,"140,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.Новгород,20302g,,1,3302-1308010-52
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,543053dc-9bd4-11ed-0a80-1026000bc97d,Товар,1-300899,Диффузор радиатора Г-3302 двс 402 Автокомпонент,В10401g,3302-10-1309011,шт,"310,00","214,03",Диффузор радиатора Г-3302 двс 402 Автокомпонент,"240,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),10401g,,1,3302-10-1309011
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,57ddc8c5-9bd4-11ed-0a80-1026000bcae8,Товар,1-300901,Кожух вентилятора (диффузор) Г-3302 двс 406,В10399g,2752-1309011,шт,"300,00","210,31",Кожух вентилятора (диффузор) Г-3302 двс 406,"240,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),10399g,,1,2752-1309011
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,5fddf439-4a40-11ef-0a80-072c0002a20f,Товар,1-400401,"Гидромуфта двс 421 УАЗ 3741, 3151 Хантер, Г-3302 без крыльчатки ПЗИ",В489552s,3741-1308070-02,компл,"2630,00","1929,38","Гидромуфта двс 421 УАЗ 3741, 3151 Хантер, Г-3302 без крыльчатки ПЗИ","2130,00",,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,,489552s,3741-1308070-02,1,3741-1308070-02
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,6400a7c7-e8f4-11ec-0a80-0c2e003da38c,Товар,1-230423,"Крышка бачка расширительного Lada Largus 12-, Renault Logan 04-, Duster 11-, Nissan (черн) LUZAR",В94196и,LL0998,шт,"360,00","253,82","Крышка бачка расширительного Lada Largus 12-, Renault Logan 04-, Duster 11-, Nissan (черн) LUZAR","280,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,LUZAR,94196и,LL0998,1,LL0998
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,650272b0-9bd4-11ed-0a80-1026000bce30,Товар,1-300903,Кожух вентилятора (диффузор) Г-3302 двс УМЗ,В19921g,33021-1309011-10,шт,"390,00","271,85",Кожух вентилятора (диффузор) Г-3302 двс УМЗ,"300,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),19921g,,1,33021-1309011-10
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,65e47d7e-9bd4-11ed-0a80-1026000bce74,Товар,ПР-000590,Крыльчатка мотора вентилятора ВАЗ 21214 21214-1309016,Прочии100,100,шт,"320,00","226,23",Крыльчатка мотора вентилятора ВАЗ 21214 21214-1309016,"250,00",,20,Прочии Поставщики,0,0,41,,,,,100,,1,100
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,66108c90-9bd4-11ed-0a80-1026000bce82,Товар,1-300900,Кожух вентилятора (диффузор) Г-3302 двс 405,В15040g,2752-1309011-10,шт,"370,00","259,41",Кожух вентилятора (диффузор) Г-3302 двс 405,"290,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),15040g,,1,2752-1309011-10
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,6ab392e4-32b3-11ee-0a80-0cbf000f9de0,Товар,2-657028,Корпус термостата УАЗ 100 л.с. в сборе (без термоэлемента) УМЗ,717712,"421.1306031, 421.1306032",шт,"1840,00","1352,16",,"1490,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,36,,,,УМЗ,717712,,1,
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,70565fc1-9bd4-11ed-0a80-1026000bf001,Товар,1-300809,Бачок расширительный Г-3302,В10023g,3302-1311010-10,шт,"570,00","404,15",Бачок расширительный Г-3302,"450,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Автокомпонент (Н.Новгород),10023g,,1,3302-1311010-10
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,70c3ce6f-0e9d-11ee-0a80-13ed00273a89,Товар,1-313245,"Крышка расширительного бачка ВАЗ 2108, Г-3302, 3110 Luzar, LL0108 (1шт.)",В5733v,LL0108,шт,"280,00","193,00","Крышка расширительного бачка ВАЗ 2108, Г-3302, 3110 Luzar, LL0108 (1шт.)","220,00",Китай,20,"ООО ""ТД ВОСХОД""","0,1","0,057",41,19,10,3,LUZAR,5733v,2108-1311065,1,
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,70f79bfe-0e9d-11ee-0a80-13ed00273a99,Товар,1-313246,"Крышка расширительного бачка ВАЗ 2108, Г-3302, 3110 ST, ST3130 (1шт.)",В376600v,ST3130,шт,"200,00","137,26","Крышка расширительного бачка ВАЗ 2108, Г-3302, 3110 ST, ST3130 (1шт.)","160,00",Китай,20,"ООО ""ТД ВОСХОД""","0,06","0,054",41,18,10,3,Support Technology,376600v,2108-1311065,1,ST3130
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7833e174-9bd4-11ed-0a80-1026000bf327,Товар,1-300936,Кран отопителя Г-3302 керамический Luzar LV 0302,В16737g,3307-8101150,шт,"620,00","435,00",Кран отопителя Г-3302 керамический Luzar LV 0302,"480,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,LUZAR,16737g,,1,3307-8101150
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7a141e27-9bd4-11ed-0a80-1026000bf3b5,Товар,1-300904,Диффузор вентилятора Г-3302 металл Н.Новгород,В13534g,33021309009,"шт,","570,00","401,21",Диффузор вентилятора Г-3302 металл Н.Новгород,"450,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.НОВГОРОД,13534g,,1,33021309009
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7ae76301-5ec2-11ef-0a80-02870005c731,Товар,ПР-560002,"Муфта электромагнитная для а/м Г-3302 ""Бизнес"" (поликлиновый, гладкий шкив) ""ZOLT""",Б2М835976,ZL 5052 001				,шт,"4930,00","3490,00","Муфта электромагнитная для а/м Г-3302 ""Бизнес"" (поликлиновый, гладкий шкив) ""ZOLT""","3840,00",,20,ИП Балабайкина Светлана Егоровна,0,0,41,,,,ZOLT,835976,ZL 5052 001,1,"ZL 5052 001, 4026.1317010-70"
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7c5a7f34-9bd4-11ed-0a80-1026000bf44f,Товар,1-300897,Кожух вентилятора (диффузор) Г-3302 Next верхний,В106500s,2122-1309020-05,шт,"610,00","426,32",Кожух вентилятора (диффузор) Г-3302 Next верхний,"470,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Сосоновскагропромтехника,106500s,,1,2122-1309020-05
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7c8f43bb-9bd4-11ed-0a80-1026000bf45d,Товар,1-300898,Кожух вентилятора (диффузор) Г-3302 Next нижний,В106497s,A21R22-1309021,шт,"810,00","574,18",Кожух вентилятора (диффузор) Г-3302 Next нижний,"640,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Сосоновскагропромтехника,106497s,,1,A21R22-1309021
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7cbc2d54-0e9b-11ee-0a80-13ed00264abf,Товар,1-311106,"Бачок омывателя ВАЗ 2101 н/образца 21213 под 2 мотора 2,2 л, AV 21213-5208102 (1шт.)",В196269v,AV 21213-5208102,шт,"200,00","135,44","Бачок омывателя ВАЗ 2101 н/образца 21213 под 2 мотора 2,2 л, AV 21213-5208102 (1шт.)","150,00",Россия,20,"ООО ""ТД ВОСХОД""","0,256","0,285",41,19,15,10,AV Autoplastic,196269v,21213-5208102,1,AV 21213-5208102
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,7d604ed4-9bd4-11ed-0a80-1026000bf495,Товар,ПР-000409,Крышка корпуса термостата Г-3302 дв.406,УТ000008053,406.1306032-11,шт,"490,00","345,00",Крышка корпуса термостата Г-3302 дв.406,"380,00",Китай,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Нет бренда,УТ000008053,,1,406.1306032-11
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,80ade830-ad5c-11ee-0a80-0658008fc203,Товар,1-910351,"Крыльчатка вентилятора для а/м УАЗ 3160, 3162 (8 лопастей)  PRAVT",В274316s,3160-1308070-01,шт,"1110,00","784,49","Крыльчатка вентилятора для а/м УАЗ 3160, 3162 (8 лопастей)  PRAVT","870,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,PRAVT,274316s,3160-1308070-01,1,3160-1308070-01
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,850b9e6b-0e9c-11ee-0a80-13ed0026dca0,Товар,1-312232,"Заслонки печки ВАЗ 2110 алюминиевые большая сплошная, мал.1 флажок 2000-2-02, 2110-8101538 (1шт.)",В5455v,2110-8101538,компл,"1230,00","1087,34","Заслонки печки ВАЗ 2110 алюминиевые большая сплошная, мал.1 флажок 2000-2-02, 2110-8101538 (1шт.)","1200,00",Россия,20,"ООО ""ТД ВОСХОД""","0,35","0,195",13,30,13,5,Тольятти,5455v,2110-8101538,1,2110-8101538
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,85327ff3-3f9e-11ec-0a80-00d3004f70fc,Товар,2-111523,Диффузор Г-3302 Бизнес дв. 4216,085319,33021-1309011-10,шт,"480,00","336,70",Диффузор Г-3302 Бизнес дв. 4216,"380,00",,20,"ООО ""АВТО-ТРАСТ""",415,0,41,530,410,50,Автокомпонент,085319,33021-1309011-10,1,33021-1309011-10
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,8578968e-3f9e-11ec-0a80-00d3004f7227,Товар,2-111528,"Диффузор УАЗ-469 ""УАЗ""",033416,046900130901010,шт,"2210,00","1620,60","Диффузор УАЗ-469 ""УАЗ""","1790,00",,20,"ООО ""АВТО-ТРАСТ""",550,0,36,570,465,65,UAZ,033416,046900130901010,1,046900130901010
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,86fe1c1f-0e9b-11ee-0a80-13ed00264f1d,Товар,1-311146,"Бачок расширительный ВАЗ 2108 карбюраторный AV Autoplastic, AV 2108-1311014 (1шт.)",В1454v,AV 2108-1311014,шт,"230,00","162,58","Бачок расширительный ВАЗ 2108 карбюраторный AV Autoplastic, AV 2108-1311014 (1шт.)","180,00",Россия,20,"ООО ""ТД ВОСХОД""","0,167","0,3375",41,15,15,15,AV Autoplastic,1454v,2108-1311014,1,AV 2108-1311014
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,87147069-424d-11ee-0a80-034c000e7a1a,Товар,11-000337,Муфта вязкостная Г-3302 Next дв.УМЗ-А274 EvoTech 2.7 с крыльч. VIMMER,17_00268458,A21R23130802/BW020007477,шт,"3340,00","2451,25",Муфта вязкостная Г-3302 Next дв.УМЗ-А274 EvoTech 2.7 с крыльч. VIMMER,"2700,00",,20,"ООО ""СТМ""",0,0,36,,,,VIMMER,17_00268458,,1,A21R23130802/BW020007477
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,872f5514-0e9b-11ee-0a80-13ed00264f2d,Товар,1-311147,"Бачок расширительный ВАЗ 21083-2115 2 горловины инжекторный AV Autoplastic, AV 21083-1311014 (1шт.)",В1455v,AV 21083-1311014,шт,"260,00","180,91","Бачок расширительный ВАЗ 21083-2115 2 горловины инжекторный AV Autoplastic, AV 21083-1311014 (1шт.)","200,00",Россия,20,"ООО ""ТД ВОСХОД""","0,3","0,36",43,20,18,10,AV Autoplastic,1455v,21083-1311014,1,AV 21083-1311014
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,8a8d86d2-3f9b-11ec-0a80-00d3004bec0a,Товар,2-101946,Диффузор 2110,003695,2110-1309016,шт,"440,00","308,00",Диффузор 2110,"340,00",,20,"ООО ""АВТО-ТРАСТ""",950,0,41,700,600,50,Сызрань,003695,2110-1309016,1,2110-1309016
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,95a1b556-5f39-11ed-0a80-09150019bf25,Товар,ПР-000002,"Вискомуфта вентилятора «CUMMINS» ISF  2.8, шт",РС00000000115,20005181,шт,"1850,00","1360,00","Вискомуфта вентилятора «CUMMINS» ISF  2.8, шт","1500,00",,20,"ООО ""РС-ДЕТАЛЬ""",0,0,36,,,,RS-Detal,00000000115,,1,20005181
КАТЕГОРИИ ТОВАРОВ/Система охлаждения,a1ad2755-9bd4-11ed-0a80-1026000c02c4,Товар,1-300902,Диффузор радиатора Г-3302 двс Cummins,В110575s,33021309011,шт,"850,00","601,52",Диффузор радиатора Г-3302 двс Cummins,"670,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Сосоновскагропромтехника,110575s,,1,33021309011
