Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Автолампы,813dfe70-fd05-11eb-0a80-07420013aa5d,Товар,1-064528К,Лампа 12 В  5 Вт металлический цоколь габаритные огни BA15s G18 Masuma L550,В158348c,L550,шт,"40,00","27,15",Лампа 12 В  5 Вт металлический цоколь габаритные огни BA15s G18 Masuma L550,"30,00",Китай,20,"ООО ""ТД ВОСХОД""",6,0,43,35,20,20,MASUMA,158348c,L550,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,8151c09d-fd05-11eb-0a80-07420013aa74,Товар,1-064519К,Лампа 12 В 21 Вт 1-контактная металлический цоколь BA15s G18 MASUMA,В158330c,L551,шт,"40,00","27,15",Лампа 12 В 21 Вт 1-контактная металлический цоколь BA15s G18 MASUMA,"30,00",Китай,20,"ООО ""ТД ВОСХОД""",10,0,43,50,30,30,MASUMA,158330c,L551,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,8603a1dd-fd06-11eb-0a80-074200147eaa,Товар,1-015510,Лампа 12 В H11 55 Вт 3200К галогенная Standard Xenite 1007011,В52223a,1007011,шт,"220,00","147,03",Лампа 12 В H11 55 Вт 3200К галогенная Standard Xenite 1007011,"170,00",Китай,20,"ООО ""ТД ВОСХОД""","0,03","0,000152",43,"4,5","4,5","7,5",Xenite,52223a,1007011,1,1007011
КАТЕГОРИИ ТОВАРОВ/Автолампы,879cbc65-3d5c-11ec-0a80-041a00379550,Товар,1-015010К,"Лампа 12 В  1,2 Вт без цоколя T5 приборная Masuma",В158322c,L505,шт,"40,00","16,50","Лампа 12 В  1,2 Вт без цоколя T5 приборная Masuma","20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,05",0,100,5,5,15,MASUMA,158322c,L505,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,87bc3254-3d5c-11ec-0a80-041a00379584,Товар,1-015136К,Лампа 12 В  5 Вт металлический цоколь габаритные огни BA15s G18 Masuma,В158348c,L550,шт,"40,00","27,70",Лампа 12 В  5 Вт металлический цоколь габаритные огни BA15s G18 Masuma,"40,00",Китай,20,"ООО ""ТД ВОСХОД""","0,05",0,43,15,2,2,MASUMA,158348c,L550,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,882bf325-3d5c-11ec-0a80-041a00379620,Товар,1-015287К,Лампа 12 В 21 Вт 1-контактная металлический цоколь BA15s G18 MASUMA,В158330c,L551,шт,"60,00","27,15",Лампа 12 В 21 Вт 1-контактная металлический цоколь BA15s G18 MASUMA,"30,00",Китай,20,"ООО ""ТД ВОСХОД""","0,05",0,100,3,3,15,MASUMA,158330c,L551,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,8aa5892b-fd08-11eb-0a80-07420015f0f3,Товар,1-015346,Лампа 12 В 21/5 Вт 2х-контактная без цоколя 10 шт. Диалуч 92217,В137636a,92217,компл,"60,00","35,28",Лампа 12 В 21/5 Вт 2х-контактная без цоколя 10 шт. Диалуч 92217,"40,00",Китай,20,"ООО ""ТД ВОСХОД""","0,1","0,0003",43,17,"7,5","2,5",Диалуч,137636a,92217,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,8ee0a51b-fd05-11eb-0a80-07420013bace,Товар,1-015096,Лампа 12 В  5 Вт без цоколя 10 шт. Vegas AVS,В48794a,A78166S,компл,"10,00","5,50",Лампа 12 В  5 Вт без цоколя 10 шт. Vegas AVS,"10,00",Китай,20,"ООО ""ТД ВОСХОД""","0,1","0,0001",43,"4,5",11,2,AVS,48794a,A78166S,1,A78166S
КАТЕГОРИИ ТОВАРОВ/Автолампы,8ee9ea2b-fd05-11eb-0a80-07420013bad8,Товар,1-015468,Лампа 12 В H1  55 Вт дальнего света Vegas AVS,В48801a,A78137S,шт,"90,00","61,00",Лампа 12 В H1  55 Вт дальнего света Vegas AVS,"70,00",Китай,20,"ООО ""ТД ВОСХОД""","0,01",0,43,"2,5","2,5","6,5",AVS,48801a,A78137S,1,A78137S
КАТЕГОРИИ ТОВАРОВ/Автолампы,9000962d-fd17-11eb-0a80-0742001ad8d0,Товар,1-015194,Лампа 12 В 10 Вт металлический цоколь габаритные огни 10 шт. Маяк 61210,В137536a,61210/10,компл,"20,00","12,35",Лампа 12 В 10 Вт металлический цоколь габаритные огни 10 шт. Маяк 61210,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,05","0,0002",43,"10,5","4,5",4,Маяк,137536a,61210,1,
